ticker,timeframe,best_params,best_value
AAPL,1m,"{'vwap_dev_threshold': 0.004369235487731235, 'stop_loss': 0.0120993236856578, 'take_profit': 0.038475022788295725, 'max_hold_minutes': 58, 'min_volume': 2685, 'trailing_stop': 0.003274733022386282, 'max_trades_per_day': 5}",0.00020457523482981813
AAPL,5m,"{'vwap_dev_threshold': 0.002026668611653328, 'stop_loss': 0.01418447400676399, 'take_profit': 0.027671465464965867, 'max_hold_minutes': 28, 'min_volume': 2412, 'trailing_stop': 0.006985882009366753, 'max_trades_per_day': 4}",0.00020096641990375327
AAPL,15m,"{'vwap_dev_threshold': 0.0030628632265147417, 'stop_loss': 0.011830560170819024, 'take_profit': 0.011396650219894744, 'max_hold_minutes': 15, 'min_volume': 3527, 'trailing_stop': 0.006192227004124253, 'max_trades_per_day': 4}",0.00013574121274307979
NVDA,1m,"{'vwap_dev_threshold': 0.004748699699651044, 'stop_loss': 0.01185924344271364, 'take_profit': 0.013283071382855064, 'max_hold_minutes': 15, 'min_volume': 2577, 'trailing_stop': 0.007970960984771458, 'max_trades_per_day': 3}",2.886217957214619e-05
NVDA,5m,"{'vwap_dev_threshold': 0.004841806281781381, 'stop_loss': 0.007074391915618574, 'take_profit': 0.011230072729997875, 'max_hold_minutes': 21, 'min_volume': 2651, 'trailing_stop': 0.0038268242351583294, 'max_trades_per_day': 3}",3.646756922564247e-05
NVDA,15m,"{'vwap_dev_threshold': 0.0021714428575521994, 'stop_loss': 0.006594430937739194, 'take_profit': 0.010256587518204354, 'max_hold_minutes': 46, 'min_volume': 2695, 'trailing_stop': 0.005787394925143536, 'max_trades_per_day': 2}",4.282031054334792e-06
QQQ,1m,"{'vwap_dev_threshold': 0.0032656033371370723, 'stop_loss': 0.013977885229086356, 'take_profit': 0.01964689677909439, 'max_hold_minutes': 37, 'min_volume': 4328, 'trailing_stop': 0.007739772995117634, 'max_trades_per_day': 3}",5.044167310315414e-05
QQQ,5m,"{'vwap_dev_threshold': 0.0034427934062607334, 'stop_loss': 0.01824178312672556, 'take_profit': 0.011598431668046354, 'max_hold_minutes': 55, 'min_volume': 4441, 'trailing_stop': 0.006667768863191868, 'max_trades_per_day': 2}",0.0003116756780182122
QQQ,15m,"{'vwap_dev_threshold': 0.0026709985990586347, 'stop_loss': 0.011641193050642155, 'take_profit': 0.03799447220774457, 'max_hold_minutes': 26, 'min_volume': 4182, 'trailing_stop': 0.00828002008576942, 'max_trades_per_day': 2}",0.00016164714629492762
SPY,1m,"{'vwap_dev_threshold': 0.002548424064823884, 'stop_loss': 0.010319610400636187, 'take_profit': 0.02307871457277881, 'max_hold_minutes': 46, 'min_volume': 3108, 'trailing_stop': 0.005722224107396412, 'max_trades_per_day': 3}",6.729183124286991e-05
SPY,5m,"{'vwap_dev_threshold': 0.002197863516253973, 'stop_loss': 0.019892404118493766, 'take_profit': 0.03164511644882073, 'max_hold_minutes': 27, 'min_volume': 714, 'trailing_stop': 0.00710171549527357, 'max_trades_per_day': 2}",0.00020106075222277832
SPY,15m,"{'vwap_dev_threshold': 0.0038063630399429137, 'stop_loss': 0.005736215788211775, 'take_profit': 0.013279345853837622, 'max_hold_minutes': 45, 'min_volume': 2699, 'trailing_stop': 0.003367182335659416, 'max_trades_per_day': 3}",6.171156200070452e-05
